,0
ASV0,121830.0
ASV1,104572.0
ASV2,100533.0
ASV3,78193.0
ASV4,70125.0
ASV5,66654.0
ASV6,60125.0
ASV7,53869.0
ASV8,51896.0
ASV9,40882.0
ASV10,38982.0
ASV11,37751.0
ASV12,35159.0
ASV13,31271.0
ASV14,30480.0
ASV15,28084.0
ASV16,27524.0
ASV17,27187.0
ASV18,26034.0
ASV19,24984.0
ASV20,24768.0
ASV21,23682.0
ASV22,22518.0
ASV23,21351.0
ASV24,21016.0
ASV25,20723.0
ASV26,20521.0
ASV27,19970.0
ASV28,19899.0
ASV29,19779.0
ASV30,19507.0
ASV31,18855.0
ASV32,18499.0
ASV33,18087.0
ASV34,17966.0
ASV35,17765.0
ASV36,17382.0
ASV37,17341.0
ASV38,16407.0
ASV39,16406.0
ASV40,16226.0
ASV41,16099.0
ASV42,16061.0
ASV43,15760.0
ASV44,15228.0
ASV45,12876.0
ASV46,12760.0
ASV47,12725.0
ASV48,12717.0
ASV49,12367.0
ASV50,12352.0
ASV51,11674.0
ASV52,11494.0
ASV53,11210.0
ASV54,11183.0
ASV55,11135.0
ASV56,11070.0
ASV57,10701.0
ASV58,10489.0
ASV59,10408.0
ASV60,10313.0
ASV61,10089.0
ASV62,9663.0
ASV63,9357.0
ASV64,9173.0
ASV65,9034.0
ASV66,8752.0
ASV67,8708.0
ASV68,8633.0
ASV69,8602.0
ASV70,8587.0
ASV71,8432.0
ASV72,8231.0
ASV73,8178.0
ASV74,8033.0
ASV75,7921.0
ASV76,7769.0
ASV77,7667.0
ASV78,7592.0
ASV79,7545.0
ASV80,7499.0
ASV81,7433.0
ASV82,7405.0
ASV83,7065.0
ASV84,6928.0
ASV85,6904.0
ASV86,6802.0
ASV87,6780.0
ASV88,6665.0
ASV89,6639.0
ASV90,6552.0
ASV91,6494.0
ASV92,6491.0
ASV93,6406.0
ASV94,6338.0
ASV95,6315.0
ASV96,6260.0
ASV97,6064.0
ASV98,5939.0
ASV99,5631.0
ASV100,5607.0
ASV101,5524.0
