#OTU_num	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031	Taxonomy
ASV0	1382.0	2099.0	3042.0	1538.0	2302.0	703.0	670.0	1342.0	1276.0	573.0	927.0	499.0	508.0	1025.0	1650.0	5552.0	37934.0	8155.0	948.0	684.0	555.0	946.0	47044.0	165.0	311.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella
ASV1	557.0	247.0	328.0	263.0	1050.0	499.0	25450.0	436.0	6760.0	383.0	5980.0	13032.0	578.0	499.0	3800.0	10314.0	407.0	6783.0	1309.0	428.0	22581.0	356.0	804.0	596.0	1132.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia
ASV2	28366.0	2040.0	388.0	18948.0	1263.0	1241.0	315.0	297.0	1277.0	22478.0	714.0	661.0	1224.0	942.0	361.0	0.0	187.0	17193.0	271.0	23.0	148.0	346.0	36.0	664.0	1150.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius
ASV3	7009.0	1534.0	382.0	449.0	5703.0	7708.0	531.0	10492.0	22891.0	550.0	170.0	259.0	3355.0	1015.0	3497.0	717.0	1861.0	613.0	2254.0	2390.0	363.0	3435.0	192.0	100.0	723.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV4	2668.0	182.0	841.0	198.0	4683.0	3550.0	1447.0	1627.0	674.0	543.0	150.0	163.0	2485.0	734.0	22292.0	255.0	6963.0	486.0	8304.0	7384.0	0.0	3813.0	0.0	107.0	576.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV5	1861.0	22363.0	3524.0	1300.0	4055.0	254.0	640.0	3386.0	2176.0	1825.0	808.0	489.0	7139.0	2045.0	2537.0	368.0	429.0	433.0	577.0	663.0	1065.0	653.0	887.0	5935.0	1242.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter
ASV6	513.0	314.0	1036.0	161.0	821.0	11803.0	228.0	479.0	103.0	319.0	183.0	108.0	1364.0	2023.0	1301.0	2350.0	5020.0	678.0	3941.0	3783.0	96.0	1146.0	3540.0	140.0	18675.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV7	346.0	33.0	58.0	168.0	167.0	911.0	11.0	410.0	4728.0	366.0	33015.0	453.0	400.0	487.0	414.0	37.0	160.0	778.0	319.0	111.0	7252.0	73.0	2390.0	392.0	390.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_ruminis
ASV8	388.0	19.0	1626.0	181.0	117.0	40.0	256.0	1323.0	270.0	301.0	372.0	148.0	7001.0	825.0	335.0	0.0	421.0	371.0	15240.0	20703.0	138.0	161.0	460.0	223.0	977.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister
ASV9	330.0	149.0	311.0	86.0	11801.0	38.0	167.0	4665.0	105.0	167.0	82.0	382.0	452.0	157.0	7324.0	0.0	248.0	70.0	311.0	279.0	55.0	93.0	125.0	7798.0	5687.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__
ASV10	0.0	0.0	0.0	0.0	0.0	414.0	0.0	164.0	269.0	136.0	180.0	36125.0	174.0	183.0	195.0	0.0	102.0	261.0	157.0	0.0	0.0	0.0	0.0	622.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV11	3230.0	2188.0	213.0	345.0	3544.0	2935.0	927.0	2368.0	4610.0	261.0	169.0	152.0	1346.0	1228.0	1298.0	1043.0	1213.0	267.0	3656.0	3505.0	113.0	917.0	1725.0	0.0	498.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
ASV12	3442.0	34.0	69.0	2337.0	195.0	233.0	47.0	206.0	558.0	19826.0	102.0	227.0	394.0	390.0	204.0	0.0	157.0	4401.0	218.0	38.0	30.0	295.0	0.0	1540.0	216.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola
ASV13	44.0	40.0	37.0	2834.0	202.0	81.0	7304.0	224.0	268.0	22.0	126.0	21.0	0.0	33.0	0.0	0.0	280.0	777.0	207.0	73.0	6764.0	98.0	11719.0	40.0	77.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
ASV14	0.0	0.0	109.0	0.0	0.0	66.0	28.0	9026.0	16700.0	2703.0	108.0	91.0	113.0	160.0	368.0	0.0	49.0	348.0	168.0	194.0	212.0	37.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__Dialister_sp.
ASV15	433.0	48.0	1069.0	2176.0	118.0	3137.0	484.0	211.0	408.0	353.0	9382.0	4314.0	594.0	515.0	265.0	726.0	82.0	314.0	200.0	55.0	1387.0	1182.0	259.0	141.0	231.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV16	1261.0	522.0	2971.0	556.0	1099.0	35.0	262.0	1049.0	1550.0	1528.0	864.0	728.0	1094.0	834.0	1052.0	549.0	1512.0	259.0	633.0	897.0	1913.0	3744.0	380.0	1166.0	1066.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
