#OTU_num	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031	Taxonomy
ASV0	1019	1440	2028	1012	1445	497	428	945	867	379	621	313	385	734	1175	5551	26369	5840	646	476	351	656	32974	115	285	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella
ASV1	412	169	221	173	660	352	16263	307	4594	251	4008	8170	438	358	2706	10314	283	4857	893	297	14312	246	563	416	1038	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia
ASV2	20924	1399	258	12467	793	878	201	209	868	14775	479	414	928	675	257	0	131	12312	185	16	93	239	25	463	1055	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius
ASV3	5170	1052	254	295	3581	5451	339	7389	15554	361	114	162	2543	727	2489	717	1293	443	1538	1666	230	2374	134	70	663	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV4	1969	125	560	131	2942	2510	924	1148	459	356	100	102	1884	527	15870	255	4840	348	5666	5140	0	2635	0	75	528	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV5	1372	15336	2350	855	2546	180	409	2385	1478	1200	542	308	5414	1464	1806	367	298	310	394	461	675	451	621	4143	1139	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter
ASV6	379	215	690	106	516	8347	145	337	71	210	123	68	1033	1449	926	2350	3489	486	2690	2635	60	792	2481	97	17127	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV7	255	24	40	111	104	645	7	288	3212	241	22130	283	303	349	294	37	111	557	217	77	4596	50	1676	273	359	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_ruminis
ASV8	286	14	1084	119	73	28	164	933	183	198	249	94	5307	591	238	0	292	267	10398	14415	88	111	322	157	896	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister
ASV9	243	103	208	56	7410	27	108	3285	71	110	55	239	343	116	5214	0	172	50	212	194	37	64	87	5444	5216	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__
