Taxonomy	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
Bacteroidia	0.687044400265077	0.343375643574451	0.166462761890197	0.579102309221593	0.469873069276648	0.528788805627772	0.183284905948922	0.388502319416833	0.409007493500535	0.642542182800632	0.0272085436101341	0.0573737064790742	0.442294948259163	0.532318907070399	0.498751083244125	0.362389763980221	0.386985777641841	0.460926747209053	0.478029260335423	0.452655859713514	0.0144644950807973	0.35838813274201	0.140388438599174	0.589374012336239	0.588290768211246
Gammaproteobacteria	0.0287378294336545	0.0480705510526584	0.0304455319365856	0.140439414793292	0.036664627618902	0.0190905846969465	0.408472243462303	0.166755875006372	0.0895651730641791	0.0260743232910231	0.0336570321659785	0.023308864760157	0.0262909721160218	0.0282153234439517	0.0231304480807463	0.106094204006729	0.453076413314982	0.113052454503747	0.141904980374165	0.10702451954937	0.411849416322577	0.0256410256410256	0.669737982362237	0.0123107508793393	0.0253606565733802
Bacilli	0.0138145486058011	0.0441453841056227	0.1470025997859	0.00943059591170923	0.0127567925778661	0.286205841871846	0.0511928429423459	0.0182239893969516	0.0930952745068053	0.0150379772646174	0.458556354182597	0.648506397512362	0.0318856094204007	0.0361676097262578	0.0184788703675384	0.165761839221084	0.0382831217821277	0.0518937656114595	0.0146938879543253	0.00836009583524494	0.150889534587348	0.0303818116939389	0.0352245501350869	0.0310572462659938	0.0150124891675587
Clostridia	0.195353519906204	0.446602436662079	0.590329815975939	0.196755365244431	0.352411173981751	0.0349059489218535	0.310623438854055	0.30189376561146	0.189312840903298	0.272136412295458	0.186317989498904	0.189491257582709	0.344458887699445	0.315682826120202	0.429232298516593	0.332836315440689	0.104169852678799	0.22022990263547	0.199100270173829	0.212545241372279	0.383672325024214	0.564777998674619	0.0820844165774583	0.330402202171586	0.313580058112862
Negativicutes	0.0496763011673549	0.106502013559668	0.0167201916704899	0.0328541571086303	0.0965743997553143	0.0935030840597441	0.00842381607789162	0.110911454350818	0.205089972982617	0.0333384309527451	0.120036193097823	0.00962175663964928	0.114479787939032	0.0223785492175154	0.0193582097160626	0	0.00925217923229852	0.117551103634603	0.154610796757914	0.208543610134067	0.0138527807513891	0.00448590508232655	0.0529260335423357	0.0105648162308202	0.0358362644644951
Actinobacteria	0.0145791915175613	0.0031860121323342	0.044043431717388	0.0332364785645104	0.00265076209410205	0.0348677167762655	0.0343324667380333	0.00475353010144263	0.00853851251465566	0.00774838150583677	0.132703777335984	0.067466992914309	0.0070984350308406	0.00720038741907529	0.00414181577203446	0.0169113523984299	0.00113422031911098	0.0107304888617016	0.00372126217056635	0.00138910128969771	0.0190523525513585	0.0113294591425804	0.00440944079115053	0.00276545853086609	0.00888260182494775
Verrucomicrobiae	0.000420553601468114	0.000216648824998726	2.54880970586736e-05	1.27440485293368e-05	0.0107432329102309	0	2.54880970586736e-05	3.82321455880104e-05	0.000254880970586736	0.000140184533822705	5.09761941173472e-05	0.000101952388234694	7.64642911760208e-05	0.0456619258806138	8.92083397053576e-05	0	7.64642911760208e-05	5.09761941173472e-05	6.3720242646684e-05	3.82321455880104e-05	0	0.000267625019116073	0	0	0.000382321455880104
Coriobacteriia	0.00836009583524494	0.00369577407350767	0.00384870265585971	0.000841107202936229	0.0015930060661671	0.00216648824998726	0.00200081561910588	0.00642300045878575	0.0040526074323291	0.00178416679410715	0.0355813834939083	0.00247234541469134	0.00909925064994647	0.00365754192791966	0.00531426823673345	0.00951980425141459	0.000879339348524239	0.0212953050925218	0.00184788703675384	0.000688178620584187	0.00395065504409441	0.00123617270734567	0.00196258347351787	0.000662690523525514	0.00335168476321558
Spirochaetia	0.000242136922057399	0	0	3.82321455880104e-05	0	0	0	0.000152928582352042	6.3720242646684e-05	7.64642911760208e-05	0.000101952388234694	5.09761941173472e-05	0.0205306621807616	0.000191160727940052	5.09761941173472e-05	0.000420553601468114	0.000127440485293368	0.000191160727940052	0.000101952388234694	0	0	2.54880970586736e-05	3.82321455880104e-05	0	0.000904827445582913
Fusobacteriia	0	5.09761941173472e-05	0	0	0	2.54880970586736e-05	0	0	0.000152928582352042	0	0	0.000407809552938778	0	0.000662690523525514	2.54880970586736e-05	0	5.09761941173472e-05	0.00132538104705103	0	7.64642911760208e-05	8.92083397053576e-05	0.000114696436764031	0.000254880970586736	0.0187974715807718	0.00028036906764541
Vampirivibrionia	0.000165672630881378	3.82321455880104e-05	0.000203904776469389	7.64642911760208e-05	0.00885711372788908	7.64642911760208e-05	0.000178416679410715	0.000127440485293368	5.09761941173472e-05	7.64642911760208e-05	0	2.54880970586736e-05	1.27440485293368e-05	0.000165672630881378	0	0	0.000140184533822705	3.82321455880104e-05	0.000739154814701534	0.000802875057348218	0	0.000127440485293368	8.92083397053576e-05	0.000331345261762757	0.000165672630881378
Alphaproteobacteria	0	6.3720242646684e-05	7.64642911760208e-05	0	0.000395065504409441	0.000114696436764031	0	0.000178416679410715	6.3720242646684e-05	6.3720242646684e-05	0.00494469082938268	0.000127440485293368	0	0.000140184533822705	0.000101952388234694	2.54880970586736e-05	5.09761941173472e-05	0.000101952388234694	2.54880970586736e-05	2.54880970586736e-05	7.64642911760208e-05	6.3720242646684e-05	0.00851302441759698	0	2.54880970586736e-05
