Taxonomy	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
Enterobacteriaceae	0.0158281082734363	0.0203140133557629	0.0277820257939542	0.130116735484529	0.0310572462659938	0.0114314115308151	0.326222154253963	0.0979380129479533	0.0292221032777693	0.00707294693378192	0.0121323341999286	0.00842381607789162	0.00621909568231636	0.0136871081205077	0.0187592394351838	0.0737752969363307	0.44119896008564	0.0948157210582658	0.0190905846969465	0.0130499056940409	0.396887903349136	0.0115461079675791	0.659198654228475	0.00773563745730744	0.0105265840852322
Lactobacillaceae	0.00669062547790182	0.00105775602793495	0.0014528215323444	0.0029438752102768	0.00360656573380231	0.256512208798491	0.000751898863230871	0.0105775602793495	0.0763495947392568	0.00680532191466585	0.429104858031299	0.634003670285976	0.022136412295458	0.0117500127440485	0.00904827445582913	0.000471529795585462	0.004919202732324	0.0282025793954223	0.00600244685731763	0.000981291736758934	0.0680149870010705	0.00108324412499363	0.0288652699189479	0.0169113523984299	0.00745526838966203
Bacteroidaceae	0.405694040882908	0.0482744558291278	0.0304837640821736	0.466534128561962	0.0537543966967426	0.025844930417495	0.00861497680583168	0.0283555079777744	0.0324845797012795	0.586583065708314	0.0113931793852271	0.0292348473262986	0.0277820257939542	0.0805168986083499	0.014566447469032	0.00113422031911098	0.0109216495896416	0.400175867869705	0.0109853698322883	0.006129887342611	0.00497017892644135	0.0247616862925014	0.00314777998674619	0.0439924555232706	0.0371234133659581
Prevotellaceae	0.217222307182546	0.275692001835143	0.0942804710200336	0.0341030738645053	0.394606718662385	0.500101952388235	0.171687821787225	0.339080899220064	0.368035377478717	0.0489498904011827	0.0135724116837437	0.0254243768160269	0.403820665749095	0.231380945098639	0.468560432278126	0.357445073150839	0.37183310394046	0.0445022174644441	0.46022582453994	0.440357852882704	0.00879339348524239	0.305232706326146	0.134921241780089	0.531617984401285	0.523882346943977
Lachnospiraceae	0.0899474945200591	0.267892644135189	0.239575368303003	0.0459422949482592	0.161467094866697	0.0214864658204618	0.0748967732069124	0.101111281031758	0.0383213539277157	0.131187235560993	0.0262399959219045	0.0254626089616149	0.166195136871081	0.0774710710098384	0.159096701840241	0.0424121935056329	0.0357852882703777	0.0948029770097364	0.0541367181526227	0.0569531528776062	0.0281261151042463	0.158102666054952	0.0264439006983739	0.128829586583066	0.106680430239078
Peptostreptococcaceae	0.00525054799408676	0.00215374420145792	0.00307131569557017	0.00244685731763267	0.00841107202936229	0.00448590508232655	0.217923229851659	0.00395065504409441	0.0644848855584442	0.00461334556761992	0.0556914920732018	0.116238466636081	0.00593872661467095	0.0050211551205587	0.0383595860733038	0.168794922771066	0.00360656573380231	0.0683335882143039	0.0114568996278738	0.00423102411173982	0.207269205281134	0.0154712749146149	0.0079650303308355	0.00921394708671051	0.0167201916704899
Veillonellaceae	0.0464520568894326	0.105457001580262	0.0162741499719631	0.0290564306468879	0.0924708161288678	0.032051282051282	0.00677983381760718	0.103328745475863	0.188815823010654	0.0291456389865933	0.0346128358056787	0.00838558393230361	0.108235204159657	0.0174848345822501	0.0102971912117041	0	0.00684355406025386	0.0238696028954478	0.139305194474181	0.193722281694449	0.0039124228985064	0.00291838711321813	0.0383723301218331	0.00792679818524749	0.0224167813631034
Rikenellaceae	0.00990212570729469	0.00490645868379467	0.0249783351175001	0.0375184788703675	0.00556914920732018	0.000420553601468114	0.000471529795585462	0.00282917877351277	0.00303308354998216	0.00286741091910078	0.000777386960289545	0.00107050007646429	0.00395065504409441	0.182035989193047	0.00587500637202427	0.0018351429882245	0.00186063108528317	0.00389967884997706	0.00126166080440434	0.000484273844114798	0.000203904776469389	0.0131518580822756	0.000522505989702809	0.00672885762348983	0.0157388999337309
Oscillospiraceae	0.0124891675587501	0.0439797114747413	0.134016414334506	0.0292093592292399	0.01729367385431	0.00118519651322832	0.00344089310292094	0.0349824132130295	0.00597695876025896	0.0157898761278483	0.011087322220523	0.00456236937350258	0.056417902839374	0.120074425243411	0.0449864913085589	0.00786307794260081	0.00778661365142478	0.00489371463526533	0.0607381352908192	0.0745144517510323	0.00180965489116583	0.0869271550186063	0.0184406382219503	0.0328286690115716	0.0269536626395473
Erysipelatoclostridiaceae	0.0043966967426212	0.00973645307641332	0.13335372381098	0.00462608961614926	0.00188611918234185	0.000790131008818882	0.0173446500484274	0.00300759545292348	0.00237039302645664	0.00230667278380996	0.00101952388234694	0.00542896467349748	0.00360656573380231	0.00760819697201407	0.00547994086761482	0.0730361421216292	0.00114696436764031	0.00312229188968752	0.00161849416322577	0.00214100015292858	0.0569276647805475	0.018389662027833	0.00316052403527553	0.00507213131467605	0.00317326808380486
Ruminococcaceae	0.0657720344599072	0.0758016006524952	0.106909823112606	0.0622929092113983	0.132754753530101	0.00493194678085334	0.0072386195646633	0.089641637355355	0.0603685578834684	0.0806953152877606	0.085741958505378	0.0334913595350971	0.0752026303716164	0.0474715807717796	0.114071978386094	0.0419916399041648	0.0514477239129326	0.0272850079013101	0.0319875618086354	0.0402839374012336	0.063834939083448	0.0961411021053168	0.0141968700616812	0.133251771422746	0.123056532599276
Bifidobacteriaceae	0.0145154712749146	0.00310954784115818	0.0425523780394556	0.0330580618850997	0.00249783351175001	0.03439618698068	0.034243258398328	0.00403986338379977	0.00850028036906765	0.00774838150583677	0.132703777335984	0.0672503440893103	0.0070984350308406	0.00720038741907529	0.0040526074323291	0.0169113523984299	0.00109598817352296	0.0105010959881735	0.00365754192791966	0.00101952388234694	0.0189758882601825	0.0112402508028751	0.00432023245144517	0.00271448233674874	0.00867869704847836
Succinivibrionaceae	0.000790131008818882	5.09761941173472e-05	0	0	0.000203904776469389	0	0.00122342865881633	0.00555640515879084	0.00099403578528827	0.0045368812764439	0.000700922669113524	0.000815619105877555	0.0174720905337208	0.00144007748381506	0.00142733343528572	0.0264948768924912	0.000904827445582913	0.001210684610287	0.116225722587552	0.0808100117245246	0.000879339348524239	0.00258704185145537	0.00122342865881633	0.000892083397053576	0.00683081001172452
Clostridiaceae	0.000586226232349493	0.00182239893969516	0.00095580363970026	0.003670285976449	0.000662690523525514	0.000547994086761482	0.00158026201763776	0.000981291736758934	0.00629555997349238	0.0068562981087832	0.000535250038232146	0.00428200030585717	0.00194983942498853	0.0018351429882245	0.000509761941173472	0.0616684508334608	0.000254880970586736	0.00103226793087628	0.000547994086761482	0.0025615537543967	0.0772799102818983	0.0999643166641179	0.00451139317938523	0.00364479787939032	0.00853851251465566
Selenomonadaceae	0.00206453586175256	0.00028036906764541	0.000433297649997451	0.000586226232349493	0.00386144670438905	0.0598333078452363	0.000458785747056125	0.0025615537543967	0.0155477392057909	0.00398888718968242	0.0853341489524392	0.00119794056175766	0.00601519090584697	0.00288015496763012	0.00876790538818372	0	0.00237039302645664	0.0917698934597543	0.0107177448131722	0.0077228934087781	0.00986389356170668	0.00156751796910843	0.0135214354896263	0.00251057756027935	0.0129861854513942
Erysipelotrichaceae	8.92083397053576e-05	0.00151654177499108	0.00338991690880359	0.00031860121323342	0.000191160727940052	0.000178416679410715	0.00335168476321558	0.00131263699852169	0.00184788703675384	0.000395065504409441	0.0225059897028088	0.00259978589998471	0.00140184533822705	0.00389967884997706	0.000560738135290819	0.0903425600244686	0.000203904776469389	0.00662690523525514	0.000866595299994902	0.000841107202936229	0.0132155783249223	0.00224295254116328	0.00133812509558036	0.000777386960289545	0.00095580363970026
