Taxonomy	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
Lactobacillus	0.00669062547790182	0.00105775602793495	0.0014528215323444	0.0029438752102768	0.00360656573380231	0.256512208798491	0.000751898863230871	0.0105775602793495	0.0763495947392568	0.00680532191466585	0.429104858031299	0.634003670285976	0.022136412295458	0.0117500127440485	0.00904827445582913	0.000471529795585462	0.004919202732324	0.0282025793954223	0.00600244685731763	0.000981291736758934	0.0680149870010705	0.00108324412499363	0.0288652699189479	0.0169113523984299	0.00745526838966203
Bacteroides	0.405694040882908	0.0482744558291278	0.0304837640821736	0.466534128561962	0.0537543966967426	0.025844930417495	0.00861497680583168	0.0283555079777744	0.0324845797012795	0.586583065708314	0.0113931793852271	0.0292348473262986	0.0277820257939542	0.0805168986083499	0.014566447469032	0.00113422031911098	0.0109216495896416	0.400175867869705	0.0109853698322883	0.006129887342611	0.00497017892644135	0.0247616862925014	0.00314777998674619	0.0439924555232706	0.0371234133659581
Prevotella	0.209104348269358	0.272811846867513	0.0799561604730591	0.0144390069837386	0.388400367028598	0.499655910689708	0.110185043584646	0.323660600499567	0.365652240403731	0.0387291634806545	0.0103609114543508	0.0233343528572157	0.302416271601162	0.143102920935923	0.415009940357853	0.205179181322322	0.346192078299434	0.0404368659835857	0.419202732324005	0.40083855839323	0.00827088749553958	0.237752969363307	0.11470918081256	0.53036906764541	0.506805321914666
Escherichia-Shigella	0.0129861854513942	0.018351429882245	0.025844930417495	0.0144135188866799	0.0210786562675231	0.00818167915583422	0.00700922669113524	0.0143370545955039	0.012145078248458	0.00555640515879085	0.00940510781465056	0.0045368812764439	0.00490645868379467	0.0102589590661161	0.016082989244023	0.0707422133863486	0.392503950655044	0.0761839221083754	0.00921394708671051	0.00643574450731508	0.00447316103379722	0.00836009583524494	0.490671356476525	0.00188611918234185	0.00363205383086099
Klebsiella	0.00224295254116328	0.00140184533822705	0.00147830962940307	0.041813223224754	0.00573482183820156	0.00212825610439925	0.236402100219198	0.0620635163378702	0.00660141713819646	0.000242136922057399	0.000178416679410715	0.00300759545292348	0.000815619105877555	0.00224295254116328	0.00234490492939797	0.00229392873528062	0.0139037569455064	0.00604067900290564	0.00779935769995412	0.00443492888820921	0.134347759596269	0.000828363154406892	0.00253606565733802	0.0041545598205638	0.0013508691441097
Romboutsia	0.00525054799408676	0.00215374420145792	0.00281643472498343	0.00220472039557527	0.00841107202936229	0.00448590508232655	0.217923229851659	0.0039124228985064	0.0641790283937401	0.00319875618086354	0.0556914920732018	0.115830657083142	0.00558189325584952	0.00456236937350257	0.0383595860733038	0.16237192231228	0.00360656573380231	0.0682316358260692	0.0113804353366978	0.00378498241321303	0.205548758729673	0.00313503593821685	0.00717489932201662	0.00530152418820411	0.0148850486822654
Agathobacter	0.0199444359484121	0.195557424682673	0.0321404903909874	0.010896161492583	0.039162461130652	0.00229392873528062	0.00536524443085079	0.0305092521792323	0.0188357037263598	0.017217209563134	0.00690727430290055	0.00392516694703573	0.0781592496304226	0.0193582097160626	0.0231431921292756	0.00482999439261865	0.00379772646174237	0.00395065504409441	0.0050211551205587	0.00587500637202427	0.00867869704847836	0.0057475658867309	0.00791405413671815	0.0528368252026304	0.0155095070602029
Dialister	0.0440944079115053	0.10492175154203	0.0158408523219656	0.028266299638069	0.0917316613141663	0.0287633175307132	0.003670285976449	0.0955931080185553	0.184903400112148	0.0253351684763216	0.0318473772748127	0.006129887342611	0.0849390834480298	0.0143115664984452	0.00886985777641841	0	0.00562012540143753	0.0119029413264006	0.137380843146251	0.191364632716521	0.00338991690880359	0.00226844063822195	0.0214864658204618	0.00470255390732528	0.0194091859101799
Rikenellaceae_RC9_gut_group	3.82321455880104e-05	0.00109598817352296	0	0.000293113116174746	0	0	0	0.000688178620584187	0.000586226232349493	0.0018351429882245	0.000369577407350767	0.000382321455880104	0.00212825610439925	0.148557373706479	0.00258704185145537	0.00177142274557782	0.00063720242646684	0.000841107202936229	0.00091757149411225	0.000140184533822705	7.64642911760208e-05	0.0107432329102309	0.000267625019116073	5.09761941173472e-05	0.00063720242646684
Alloprevotella	0.00556914920732018	0.00235764897792731	0.0101187745322934	0.00117245246469899	0.0055054289646735	0.00028036906764541	0.0607763674364072	0.0122087984911047	0.00142733343528572	0.00396339909262374	0.00266350614263139	0.00144007748381506	0.0718254575113422	0.0828363154406892	0.0248508946322068	0.138132742009482	0.0246469898557374	0.00303308354998216	0.0219962277616353	0.0151399296528521	0.000127440485293368	0.000433297649997451	0.0188994239690065	0.000178416679410715	0.00973645307641332
Bifidobacterium	0.0145154712749146	0.00310954784115818	0.0425523780394556	0.0330580618850997	0.00249783351175001	0.0343452107865627	0.034243258398328	0.00403986338379977	0.00850028036906765	0.00774838150583677	0.132703777335984	0.0672503440893103	0.0070984350308406	0.00720038741907529	0.0040526074323291	0.0169113523984299	0.00109598817352296	0.0105010959881735	0.00365754192791966	0.00101952388234694	0.0189758882601825	0.0112402508028751	0.00432023245144517	0.00271448233674874	0.00867869704847836
Catenibacterium	0.00409083957791711	0.001210684610287	0.132436152316868	0.000700922669113524	0.000713666717642861	0.00067543457205485	0.000267625019116073	0.0027017382882194	0.00228118468675129	0.00137635724116837	0.000586226232349493	0.000267625019116073	0.00239588112351532	0.00665239333231381	0.00521231584849875	0.0729469337819238	0.00108324412499363	0.00186063108528317	0.00099403578528827	0.00198807157057654	0.0568512004893715	0.0152928582352042	0.00249783351175001	0.00182239893969516	0.002459601366162
Succinivibrio	0.000790131008818882	5.09761941173472e-05	0	0	0.000203904776469389	0	0.00122342865881633	0.00555640515879084	0.00099403578528827	0.0045368812764439	0.000700922669113524	0.000815619105877555	0.0174720905337208	0.00144007748381506	0.00142733343528572	0.0264948768924912	0.000904827445582913	0.001210684610287	0.116225722587552	0.0808100117245246	0.000879339348524239	0.00258704185145537	0.00122342865881633	0.000892083397053576	0.00683081001172452
Clostridium_sensu_stricto_1	0.000586226232349493	0.00182239893969516	0.00095580363970026	0.003670285976449	0.00063720242646684	0.000547994086761482	0.00158026201763776	0.000981291736758934	0.00629555997349238	0.0068562981087832	0.000535250038232146	0.00426925625732783	0.00194983942498853	0.00172044655146047	0.000509761941173472	0.0616174746393434	0.000254880970586736	0.00103226793087628	0.000497017892644135	0.00252332160880869	0.0772799102818983	0.0997349237905898	0.00451139317938523	0.00359382168527298	0.00853851251465566
CAG-352	0.00309680379262884	0.00133812509558036	0.00265076209410205	0.000713666717642861	0.0944333996023857	0.000344089310292094	0.00137635724116837	0.0418641994188714	0.000904827445582913	0.00140184533822705	0.000700922669113524	0.0030458275985115	0.00437120864556252	0.00147830962940307	0.0664474690319621	0	0.00219197634704593	0.00063720242646684	0.0027017382882194	0.00247234541469134	0.000471529795585462	0.000815619105877555	0.0011087322220523	0.0693786001937095	0.0664729571290208
Megamonas	0.000662690523525514	0.000203904776469389	0.000127440485293368	0.000369577407350767	0.00146556558087373	0.047675485548249	0.000152928582352042	0.000981291736758934	0.0150762094102054	0.0034281490543916	0.0849390834480298	0.000764642911760208	0.00113422031911098	0.00203904776469389	0.000777386960289545	0	0.000649946474996177	0.09069939338329	0.00091757149411225	0.000611714329408166	0.00967273283376663	0.000305857164704083	0.0119666615690473	0.000242136922057399	0.0113039710455217
Haemophilus	0.000981291736758934	0.0265076209410205	0.000560738135290819	0.00493194678085334	0.00378498241321303	0.0056456134984962	0.0793826782892389	0.00433297649997451	0.0473823724320742	0.0132410664219809	0.0199062038028241	0.0121960544425753	0.00138910128969771	0.00974919712494265	0.00118519651322832	0.00420553601468114	0.00957078044553194	0.00987663761023602	0.00426925625732783	0.00095580363970026	0.00990212570729469	0.00627007187643371	0.0039124228985064	0.000382321455880104	0.000739154814701534
UCG-002	0.00497017892644135	0.0338227047968599	0.0541622062496814	0.0187337513381251	0.0100550542896467	0.000611714329408166	0.00240862517204465	0.0216776265484019	0.0043966967426212	0.00861497680583168	0.00813070296171688	0.00308405974409951	0.0369449966865474	0.0683718203598919	0.0321022582453994	0.00652495284702044	0.00511036346026406	0.00238313707498598	0.0511291226996992	0.0661925880613753	0.00136361319263904	0.0530534740276291	0.0145154712749146	0.0260743232910231	0.0162231737778457
Eubacterium_coprostanoligenes_group	0.0103226793087628	0.0285084365601264	0.0240862517204465	0.0428837233012183	0.0240480195748585	0.00063720242646684	0.00186063108528317	0.0668297904878422	0.00698373859407657	0.0124891675587501	0.00335168476321558	0.00368303002497833	0.0295407044910027	0.0242391803027986	0.0575648672070143	0.00563286944996687	0.00296936330733547	0.00242136922057399	0.0350206453586175	0.0279476984248356	0.00108324412499363	0.0473696283835449	0.00472804200438395	0.0142605903043279	0.0168221440587246
Faecalibacterium	0.0509889381658765	0.0529387775908651	0.0633379211908039	0.0366009073762553	0.0213972574807565	0.00275271448233675	0.00395065504409441	0.0211041443645817	0.0493576999541214	0.0627389509099251	0.0203904776469389	0.0205688943263496	0.0537416526482133	0.0227226385278075	0.0265713411836672	0.030725901004231	0.0255518173013203	0.020658102666055	0.0221491563439874	0.0318728653718713	0.0562012540143753	0.0480323189070704	0.00827088749553958	0.0420935922923995	0.0443365448335627
Enterobacter	0.000178416679410715	0.000216648824998726	0.000152928582352042	0.0201101085792935	0.00119794056175766	0.000395065504409441	0.00154202987204975	0.00152928582352042	0.00103226793087628	0.000114696436764031	0.000790131008818882	0	0.00031860121323342	0.000254880970586736	0.000267625019116073	0	0.00923943518376918	0.00461334556761992	0.00028036906764541	0.000573482183820156	0.0223785492175154	0.00031860121323342	0.0595147066320029	0.000254880970586736	0.00243411326910333
Turicibacter	2.54880970586736e-05	0.000127440485293368	0	6.3720242646684e-05	0	0.000178416679410715	0.00305857164704083	0.000178416679410715	0.00169495845440179	6.3720242646684e-05	0.00314777998674619	0.00238313707498598	0.000229392873528062	0.000382321455880104	0.000152928582352042	0.0544935515114442	0	0.00601519090584697	0.000216648824998726	0.00028036906764541	0.0132155783249223	0.000369577407350767	0.000535250038232146	0.000700922669113524	0.000547994086761482
Butyricicoccus	0.00211551205586991	0.00288015496763012	0.0461079675791405	0.00211551205586991	0.00136361319263904	0.00113422031911098	0.00268899423969006	0.00126166080440434	0.00610439924555233	0.00880613753377173	0.00201355966763521	0.00103226793087628	0.00252332160880869	0.00521231584849875	0.00555640515879084	0.00251057756027935	0.000879339348524239	0.0203012693072335	0.00124891675587501	0.000739154814701534	0.00228118468675129	0.0110745781719937	0.00105775602793495	0.00258704185145537	0.0052632920426161
Akkermansia	0.000420553601468114	0.000216648824998726	2.54880970586736e-05	1.27440485293368e-05	0.0107432329102309	0	2.54880970586736e-05	3.82321455880104e-05	0.000254880970586736	0.000140184533822705	5.09761941173472e-05	0.000101952388234694	7.64642911760208e-05	0.0456619258806138	8.92083397053576e-05	0	7.64642911760208e-05	5.09761941173472e-05	6.3720242646684e-05	3.82321455880104e-05	0	0.000267625019116073	0	0	0.000382321455880104
Dorea	0.00281643472498343	0.00178416679410715	0.0427690268644543	0.00137635724116837	0.00225569658969261	0.000764642911760208	0.00242136922057399	0.00638476831319774	0.00128714890146302	0.00282917877351277	0.00144007748381506	0.000662690523525514	0.00369577407350767	0.0029438752102768	0.00300759545292348	0.0128587449661008	0.00091757149411225	0.00136361319263904	0.00136361319263904	0.00177142274557782	0.00133812509558036	0.00532701228526278	0.00136361319263904	0.00205179181322322	0.00551817301320283
NK4A214_group	0.00172044655146047	0.00128714890146302	0.0399653361880002	0.00293113116174746	0.00104501197940562	0.000216648824998726	0.000305857164704083	0.00676708976907784	0.000433297649997451	0.00144007748381506	0.00095580363970026	0.00067543457205485	0.00504664321761737	0.0136743640719784	0.00377223836468369	0	0.00101952388234694	0.000573482183820156	0.000879339348524239	0.000739154814701534	0.000101952388234694	0.00904827445582913	0.0013508691441097	0.0038104705102717	0.00307131569557017
Parabacteroides	0.0339883774277412	0.00792679818524749	0.0114441555793444	0.0388311158688892	0.0114186674822858	0.00186063108528317	0.00169495845440179	0.00511036346026406	0.00258704185145537	0.00225569658969261	0.00118519651322832	0.00118519651322832	0.00267625019116073	0.0242519243513279	0.00421828006321048	0.000509761941173472	0.00156751796910843	0.0116480603558138	0.0018351429882245	0.00174593464851914	0.000242136922057399	0.00642300045878575	0.00137635724116837	0.00499566702350003	0.0066141611867258
Anaerostipes	0.00107050007646429	0.000407809552938778	0.00388693480144772	0.00141458938675638	0.00127440485293368	0.000522505989702809	0.0384233063159505	0	0.000178416679410715	0.00198807157057654	0.000254880970586736	0.000242136922057399	2.54880970586736e-05	6.3720242646684e-05	0.000216648824998726	0.000165672630881378	2.54880970586736e-05	0.000433297649997451	0.00266350614263139	0.00028036906764541	0.000586226232349493	0.0200336442881174	0.000662690523525514	0.000420553601468114	0.000981291736758934
Alistipes	0.00986389356170668	0.0038104705102717	0.0249783351175001	0.0372253657541928	0.00556914920732018	0.000420553601468114	0.000471529795585462	0.00214100015292858	0.00244685731763267	0.00103226793087628	0.000407809552938778	0.000688178620584187	0.00182239893969516	0.0334786154865678	0.00328796452056889	6.3720242646684e-05	0.00122342865881633	0.00305857164704083	0.000344089310292094	0.000344089310292094	0.000127440485293368	0.00240862517204466	0.000254880970586736	0.00667788142937248	0.0151016975072641
Holdemanella	6.3720242646684e-05	0.00133812509558036	0.00338991690880359	0	0.000191160727940052	0	0.000293113116174746	0.00113422031911098	0.000152928582352042	0.000254880970586736	0.0193582097160626	0.000165672630881378	0.000369577407350767	0.00346638119997961	0.000382321455880104	0.0357852882703777	0.000203904776469389	0.000203904776469389	0.00059897028087883	0.000560738135290819	0	0.00150379772646174	0.000802875057348218	2.54880970586736e-05	0.000127440485293368
Senegalimassilia	0.000573482183820156	0.00169495845440179	0.000828363154406892	0.000191160727940052	0.000114696436764031	0.000305857164704083	2.54880970586736e-05	0.00031860121323342	0.000777386960289545	0.00035683335882143	0.0326120201865729	0.000152928582352042	0.000535250038232146	0.000904827445582913	0.000649946474996177	0.00324973237498088	0.000254880970586736	0.00537798847938013	0.000420553601468114	0.000178416679410715	0	0.000140184533822705	0.000879339348524239	0	0.000497017892644135
Roseburia	0.00888260182494775	0.017140745271958	0.00285466687057144	0.00511036346026406	0.00760819697201407	0.00115970841616965	0.00286741091910078	0.0143243105469746	0.00233216088086863	0.0216139063057552	0.00124891675587501	0.00206453586175256	0.00471529795585462	0.0140057093337411	0.00973645307641332	0.00131263699852169	0.00179691084263649	0.0284702044145384	0.00751898863230871	0.0106030483764082	0.00198807157057654	0.0210149360248764	0.00170770250293113	0.0252841922822042	0.0150124891675588
Streptococcus	0.000611714329408166	0.0284574603660091	0.000458785747056125	0.000700922669113524	0.00160575011469644	0.0273742162410154	0.000968547688229597	0.001210684610287	0.0110363460264057	0.00407809552938778	0.00425651220879849	0.0023194168323393	0.00210276800734057	0.0100168221440587	0.00131263699852169	0.00177142274557782	0.00553091706173217	0.0109853698322883	0.00194983942498853	0.00215374420145792	0.012183310394046	0.00457511342203191	0.00122342865881633	0.00746801243819137	0.0014528215323444
Subdoligranulum	0.00484273844114798	0.00779935769995412	0.00175867869704848	0.00860223275730234	0.00559463730437885	0.00122342865881633	0.00107050007646429	0.00556914920732018	0.00518682775144008	0.00581128612937758	0.0278967222307183	0.00489371463526533	0.00660141713819646	0.00438395269409186	0.00387419075291839	0.00876790538818372	0.00142733343528572	0.00229392873528062	0.0031860121323342	0.00305857164704083	0.00382321455880104	0.00944333996023857	0.00212825610439925	0.00660141713819646	0.00634653616760973
Weissella	0.000458785747056125	0.000229392873528062	0.00028036906764541	0.000305857164704083	0.000981291736758934	0.000369577407350767	0.0277565376968955	0.000331345261762757	0.000382321455880104	0.00031860121323342	0.000395065504409441	0.000458785747056125	0.000305857164704083	0.000751898863230871	0.000344089310292094	0	0.00308405974409951	0.00137635724116837	0.00257429780292603	0.000892083397053576	0.00028036906764541	0.000203904776469389	0.000127440485293368	3.82321455880104e-05	0.000114696436764031
