Taxonomy	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
Bacteroidales	0.687044400265077	0.343375643574451	0.166284345210787	0.579102309221593	0.469873069276648	0.528470204414538	0.183284905948922	0.385188866799205	0.408982005403476	0.642503950655044	0.0272085436101341	0.0573737064790742	0.442256716113575	0.532204210633634	0.498738339195596	0.362389763980221	0.386985777641841	0.460875771014936	0.477978284141306	0.452400978742927	0.0144644950807973	0.35838813274201	0.140388438599174	0.589374012336239	0.588290768211246
Enterobacterales	0.0158281082734363	0.0203140133557629	0.0277820257939542	0.130116735484529	0.0310572462659938	0.0114314115308151	0.326222154253963	0.0979380129479533	0.029285823520416	0.00707294693378192	0.0121323341999286	0.00848753632053831	0.00621909568231636	0.0136871081205077	0.0187592394351838	0.0737752969363307	0.441249936279758	0.0948284651067951	0.0190905846969465	0.0130499056940409	0.396887903349136	0.0115461079675791	0.659198654228475	0.00781210174848346	0.0105265840852322
Lactobacillales	0.00782484579701279	0.0297446092674721	0.00219197634704593	0.00428200030585716	0.00867869704847836	0.284561859611561	0.0302033950145282	0.0129989294999235	0.0886985777641841	0.0119666615690473	0.434788703675384	0.638056277718306	0.0252332160880869	0.0235382576336851	0.0115715960646378	0.00224295254116328	0.0368430442983127	0.0417112708365194	0.0110363460264057	0.00406535148085844	0.0805933628995259	0.00586226232349493	0.0302543712086456	0.0244175969822093	0.00903553040729979
Oscillospirales	0.0913365958097568	0.168246928684305	0.330835499821583	0.13682010501096	0.176658000713667	0.00802875057348218	0.0158281082734363	0.192893918540042	0.0795228628230616	0.118532395371362	0.102691543049396	0.042947443543865	0.166054952337258	0.209091604220829	0.225684355406025	0.0584059744099506	0.0631849926084518	0.0549523372585003	0.130256920018351	0.144606718662385	0.0690599989804761	0.248330529642657	0.0390732527909466	0.183068257123923	0.172847530203395
Lachnospirales	0.0899474945200591	0.267994596523424	0.239588112351532	0.0459422949482592	0.161467094866697	0.0214864658204618	0.0748967732069124	0.101111281031758	0.0383213539277157	0.131187235560993	0.0262399959219045	0.0254626089616149	0.166271601162257	0.0774710710098384	0.159211398277005	0.0424121935056329	0.0358107763674364	0.0948029770097364	0.0541622062496814	0.0569531528776062	0.0281261151042463	0.158268338685834	0.0264439006983739	0.128829586583066	0.106782382627313
Peptostreptococcales-Tissierellales	0.00605342305143498	0.00272722638527808	0.00690727430290055	0.0035683335882143	0.00879339348524239	0.00452413722791456	0.217935973900189	0.0043966967426212	0.0647015343834429	0.00494469082938268	0.0558699087526125	0.116302186878728	0.00700922669113524	0.00741703624407402	0.0389075801600652	0.169636029974002	0.00364479787939032	0.0684865167966559	0.0115715960646378	0.00476627414997196	0.207791711270837	0.0186827751440077	0.00886985777641841	0.00992761380435337	0.018313197736657
Veillonellales-Selenomonadales	0.0485165927511852	0.105737370647907	0.0167074476219605	0.0296426568792374	0.0963322628332569	0.0918845898965183	0.0072386195646633	0.105890299230259	0.204363562216445	0.0331345261762757	0.119946984758118	0.00958352449406127	0.114250395065504	0.0203649895498802	0.0190650965998879	0	0.00921394708671051	0.115639496355202	0.150022939287353	0.201445175103227	0.0137763164602131	0.00448590508232655	0.0518937656114594	0.0104373757455268	0.0354029668144976
Erysipelotrichales	0.00448590508232655	0.0112529948514044	0.136743640719784	0.00494469082938268	0.0020772799102819	0.000968547688229597	0.020696334811643	0.00432023245144517	0.00421828006321048	0.0027017382882194	0.0235255135851557	0.00802875057348218	0.00500841107202936	0.0115078758219911	0.00604067900290564	0.163378702146098	0.0013508691441097	0.00974919712494265	0.00248508946322068	0.00298210735586481	0.0701432431054698	0.0206326145689963	0.00449864913085589	0.00584951827496559	0.00412907172350512
Bifidobacteriales	0.0145154712749146	0.00310954784115818	0.0425523780394556	0.0330580618850997	0.00249783351175001	0.03439618698068	0.034243258398328	0.00403986338379977	0.00850028036906765	0.00774838150583677	0.132703777335984	0.0672503440893103	0.0070984350308406	0.00720038741907529	0.0040526074323291	0.0169113523984299	0.00109598817352296	0.0105010959881735	0.00365754192791966	0.00101952388234694	0.0189758882601825	0.0112402508028751	0.00432023245144517	0.00271448233674874	0.00867869704847836
Aeromonadales	0.000790131008818882	5.09761941173472e-05	0	0	0.000203904776469389	0	0.00122342865881633	0.0056456134984962	0.00099403578528827	0.0045368812764439	0.000700922669113524	0.000815619105877555	0.0174720905337208	0.00144007748381506	0.00142733343528572	0.0264948768924912	0.000904827445582913	0.001210684610287	0.116225722587552	0.0808100117245246	0.000879339348524239	0.00258704185145537	0.00122342865881633	0.000892083397053576	0.00683081001172452
