	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
PRK01002	0.0	0.777017382882194	0.8019192537085181	0.618927460875771	0.6676861905490136	0.7667839119131366	0.8748916755875006	0.6817938522709894	0.7214660753428149	0.5980909415303054	0.8809323545904063	0.8774532293418973	0.7081740327267166	0.748483458225009	0.7319289391854005	0.8651297344140286	0.8265280114186675	0.6433195697609216	0.7658281082734363	0.7726334301881022	0.8923000458785747	0.7884105622674211	0.8771091400316052	0.8203598919304684	0.746482642605903
SMG01004	0.777017382882194	0.0	0.7854794311056736	0.8334862619156854	0.6949966865473823	0.8412601315185808	0.8932303614212163	0.8034995157261559	0.804863128918795	0.7958148544629658	0.8916883315491665	0.89950043329765	0.7432074221338635	0.7348473262986186	0.7720726920528114	0.8698577764184126	0.8713233419992863	0.8426237447112198	0.80649436713055	0.8086608553805373	0.9229749706886884	0.7901055207218229	0.8767268185757251	0.8044170872202682	0.8117576591731661
SMG01005	0.8019192537085181	0.7854794311056736	0.0	0.8295993271142377	0.7808405974409951	0.9028011418667482	0.8832390273742162	0.7837844726512718	0.8554060253861446	0.8300836009583524	0.8821940153948106	0.9000739154814702	0.762221542539634	0.7203955752663506	0.763355762858745	0.8268975888260183	0.8637151450272723	0.8516592751185197	0.8073227302849569	0.8140388438599174	0.9002523321608809	0.7451445175103227	0.8822195034918693	0.8638298414640363	0.797866646276189
LPK01006	0.618927460875771	0.8334862619156854	0.8295993271142377	0.0	0.8323520415965744	0.8898786766580007	0.839374012336239	0.8292297497068869	0.8558520670846714	0.6660676963857879	0.876229800683081	0.8803206402609981	0.8397308456950604	0.8394377325788857	0.863970025997859	0.9094917673446501	0.8895345873477086	0.6744787684151501	0.8853290513330275	0.8960595401947291	0.8290003568333588	0.8611663353214049	0.8743819136463271	0.8581587398684815	0.8374241729112505
RRM01008	0.6676861905490136	0.6949966865473823	0.7808405974409951	0.8323520415965744	0.0	0.7540653514808584	0.8518376917979303	0.6716495896416373	0.7709384717337003	0.8163200285466687	0.8961869806800224	0.8941734210123872	0.7273410817148391	0.7333052964265688	0.6356221644492023	0.8567951266758423	0.7524850894632207	0.8321736249171637	0.7141764795840343	0.7333945047662741	0.9111357496049345	0.7454886068206148	0.8587577101493602	0.7455650711117908	0.7130932354590406
RSM01009	0.7667839119131366	0.8412601315185808	0.9028011418667482	0.8898786766580007	0.7540653514808584	0.0	0.9060891063873171	0.8043023907835041	0.7679563643778355	0.8938548197991538	0.8537238109802722	0.8326961309068664	0.8166003976143141	0.8467400723861956	0.8195315287760616	0.8846791048580313	0.8164219809349034	0.8185374929907733	0.7859382168527298	0.8039710455217414	0.9220828872916348	0.8162435642554927	0.8794540449610032	0.920196768109293	0.7219248610898711
MSY01012	0.8748916755875006	0.8932303614212163	0.8832390273742162	0.839374012336239	0.8518376917979303	0.9060891063873171	0.0	0.7966687057144314	0.8041622062496814	0.9078477850843656	0.8445480960391497	0.8110822246011112	0.8325814344701025	0.8682137941581282	0.8401004231024112	0.7928964673497476	0.8692715501860631	0.8235331600142733	0.8410944588876994	0.8728016516286894	0.5730998623642759	0.8935489626344497	0.8612173115155223	0.9307870724371718	0.8605673650405261
YRB01013	0.6817938522709894	0.8034995157261559	0.7837844726512718	0.8292297497068869	0.6716495896416373	0.8043023907835041	0.7966687057144314	0.0	0.62970892593159	0.7971402355100168	0.8793903247183565	0.8794030687668859	0.6558852016108477	0.7104297293164092	0.6117780496508131	0.8580058112861294	0.7744175969822094	0.8179002905643065	0.6707829943416425	0.6862160371106694	0.8440383340979762	0.7753096803792628	0.8502191976347045	0.7700209002395881	0.6773461793342509
MML01014	0.7214660753428149	0.804863128918795	0.8554060253861446	0.8558520670846714	0.7709384717337003	0.7679563643778355	0.8041622062496814	0.62970892593159	0.0	0.79150736606005	0.7723912932660447	0.7980450629555997	0.7763801804557272	0.7961589437732579	0.7584875363205383	0.8124968139878677	0.8174415048172503	0.7569964826426059	0.7980832951011877	0.8239537136157414	0.7591884589896518	0.824616404139267	0.8377427741244838	0.8437069888362135	0.7840648417189172
RRG01015	0.5980909415303054	0.7958148544629658	0.8300836009583524	0.6660676963857879	0.8163200285466687	0.8938548197991538	0.9078477850843656	0.7971402355100168	0.79150736606005	0.0	0.8826273130448081	0.885877045419789	0.78439618698068	0.7781770912983637	0.8033848192893919	0.8891777539888872	0.8602742519243514	0.6285619615639496	0.8458989651832595	0.8587322220523016	0.8915226589182852	0.791736758933578	0.8941097007697405	0.8137712188408014	0.7686317989498904
AEO01016	0.8809323545904063	0.8916883315491665	0.8821940153948106	0.876229800683081	0.8961869806800224	0.8537238109802722	0.8445480960391497	0.8793903247183565	0.7723912932660447	0.8826273130448081	0.0	0.7854539430086149	0.872521282561044	0.859203751847887	0.8495819952082377	0.8563618290258449	0.9059871539990825	0.7830580618850996	0.8911403374624051	0.9162078809196106	0.7844216750777387	0.8891395218432991	0.86529540704491	0.9082428505887751	0.8628485497272773
AR001017	0.8774532293418973	0.89950043329765	0.9000739154814702	0.8803206402609981	0.8941734210123872	0.8326961309068664	0.8110822246011112	0.8794030687668859	0.7980450629555997	0.885877045419789	0.7854539430086149	0.0	0.8712978539022277	0.8725722587551613	0.8561324361523168	0.8229469337819239	0.9084467553652444	0.8057042361217311	0.8910766172197584	0.9140923688637407	0.7996380690217668	0.8941224448182699	0.9170617321710761	0.8699979609522354	0.8670413416934292
EMS01018	0.7081740327267166	0.7432074221338635	0.762221542539634	0.8397308456950604	0.7273410817148391	0.8166003976143141	0.8325814344701025	0.6558852016108477	0.7763801804557272	0.78439618698068	0.872521282561044	0.8712978539022277	0.0	0.6790666258857114	0.6153463832390274	0.8160524035275526	0.7568180659631952	0.8357547025539074	0.5999260845185298	0.624942651781618	0.8970918081256053	0.7466865473823724	0.8395396849671204	0.7779349543763062	0.661530815109344
APA01019	0.748483458225009	0.7348473262986186	0.7203955752663506	0.8394377325788857	0.7333052964265688	0.8467400723861956	0.8682137941581282	0.7104297293164092	0.7961589437732579	0.7781770912983637	0.859203751847887	0.8725722587551613	0.6790666258857114	0.0	0.6938879543253301	0.821137278890758	0.7862568180659631	0.7884997706071265	0.7000815619105878	0.7088239792017128	0.88720242646684	0.7334072488148035	0.8387240658612428	0.8330402202171586	0.7064026099811388
MRK01020	0.7319289391854005	0.7720726920528114	0.763355762858745	0.863970025997859	0.6356221644492023	0.8195315287760616	0.8401004231024112	0.6117780496508131	0.7584875363205383	0.8033848192893919	0.8495819952082377	0.8561324361523168	0.6153463832390274	0.6938879543253301	0.0	0.801384003670286	0.7349110465412653	0.8055258194423205	0.6474486414844268	0.6822016618239283	0.8724575623183973	0.7176428607840138	0.8513024417596983	0.7549319467808533	0.654610796757914
SSM01021	0.8651297344140286	0.8698577764184126	0.8268975888260183	0.9094917673446501	0.8567951266758423	0.8846791048580313	0.7928964673497476	0.8580058112861294	0.8124968139878677	0.8891777539888872	0.8563618290258449	0.8229469337819239	0.8160524035275526	0.821137278890758	0.801384003670286	0.0	0.7804072997909977	0.7841540500586226	0.8058444206555538	0.8172630881378397	0.688548197991538	0.7877988479380129	0.8275985114951318	0.9067772850079013	0.8155553856349085
TSY01022	0.8265280114186675	0.8713233419992863	0.8637151450272723	0.8895345873477086	0.7524850894632207	0.8164219809349034	0.8692715501860631	0.7744175969822094	0.8174415048172503	0.8602742519243514	0.9059871539990825	0.9084467553652444	0.7568180659631952	0.7862568180659631	0.7349110465412653	0.7804072997909977	0.0	0.8006066167099964	0.6674567976754856	0.702209818014987	0.8943518376917979	0.8277004638833665	0.4640872712443289	0.9018580822755773	0.7713335372381098
DBM01024	0.6433195697609216	0.8426237447112198	0.8516592751185197	0.6744787684151501	0.8321736249171637	0.8185374929907733	0.8235331600142733	0.8179002905643065	0.7569964826426059	0.6285619615639496	0.7830580618850996	0.8057042361217311	0.8357547025539074	0.7884997706071265	0.8055258194423205	0.7841540500586226	0.8006066167099964	0.0	0.849097721364123	0.8781031758168935	0.8153259927613804	0.8558265789876128	0.8155044094407912	0.8606948055258195	0.8200667788142937
VHW01025	0.7658281082734363	0.80649436713055	0.8073227302849569	0.8853290513330275	0.7141764795840343	0.7859382168527298	0.8410944588876994	0.6707829943416425	0.7980832951011877	0.8458989651832595	0.8911403374624051	0.8910766172197584	0.5999260845185298	0.7000815619105878	0.6474486414844268	0.8058444206555538	0.6674567976754856	0.849097721364123	0.0	0.15541367181526228	0.911874904419636	0.756129887342611	0.8059081408982005	0.8494163225773563	0.6842661976856808
SMG01026	0.7726334301881022	0.8086608553805373	0.8140388438599174	0.8960595401947291	0.7333945047662741	0.8039710455217414	0.8728016516286894	0.6862160371106694	0.8239537136157414	0.8587322220523016	0.9162078809196106	0.9140923688637407	0.624942651781618	0.7088239792017128	0.6822016618239283	0.8172630881378397	0.702209818014987	0.8781031758168935	0.15541367181526228	0.0	0.9122699699240455	0.7486236427588316	0.8119360758525769	0.8403807921700566	0.683973084569506
KSS01027	0.8923000458785747	0.9229749706886884	0.9002523321608809	0.8290003568333588	0.9111357496049345	0.9220828872916348	0.5730998623642759	0.8440383340979762	0.7591884589896518	0.8915226589182852	0.7844216750777387	0.7996380690217668	0.8970918081256053	0.88720242646684	0.8724575623183973	0.688548197991538	0.8943518376917979	0.8153259927613804	0.911874904419636	0.9122699699240455	0.0	0.8519906203802824	0.8331931487995107	0.9035657847785085	0.8620201865728705
KRL01028	0.7884105622674211	0.7901055207218229	0.7451445175103227	0.8611663353214049	0.7454886068206148	0.8162435642554927	0.8935489626344497	0.7753096803792628	0.824616404139267	0.791736758933578	0.8891395218432991	0.8941224448182699	0.7466865473823724	0.7334072488148035	0.7176428607840138	0.7877988479380129	0.8277004638833665	0.8558265789876128	0.756129887342611	0.7486236427588316	0.8519906203802824	0.0	0.86529540704491	0.8376917979303665	0.7456033032573788
PBB01029	0.8771091400316052	0.8767268185757251	0.8822195034918693	0.8743819136463271	0.8587577101493602	0.8794540449610032	0.8612173115155223	0.8502191976347045	0.8377427741244838	0.8941097007697405	0.86529540704491	0.9170617321710761	0.8395396849671204	0.8387240658612428	0.8513024417596983	0.8275985114951318	0.4640872712443289	0.8155044094407912	0.8059081408982005	0.8119360758525769	0.8331931487995107	0.86529540704491	0.0	0.8992455523270633	0.8034103073864505
DLD01030	0.8203598919304684	0.8044170872202682	0.8638298414640363	0.8581587398684815	0.7455650711117908	0.920196768109293	0.9307870724371718	0.7700209002395881	0.8437069888362135	0.8137712188408014	0.9082428505887751	0.8699979609522354	0.7779349543763062	0.8330402202171586	0.7549319467808533	0.9067772850079013	0.9018580822755773	0.8606948055258195	0.8494163225773563	0.8403807921700566	0.9035657847785085	0.8376917979303665	0.8992455523270633	0.0	0.6998904011826477
PDD01031	0.746482642605903	0.8117576591731661	0.797866646276189	0.8374241729112505	0.7130932354590406	0.7219248610898711	0.8605673650405261	0.6773461793342509	0.7840648417189172	0.7686317989498904	0.8628485497272773	0.8670413416934292	0.661530815109344	0.7064026099811388	0.654610796757914	0.8155553856349085	0.7713335372381098	0.8200667788142937	0.6842661976856808	0.683973084569506	0.8620201865728705	0.7456033032573788	0.8034103073864505	0.6998904011826477	0.0
