	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
PRK01002	0	0.5304665958794011	0.5439531319753717	0.6380223176590304	0.5688942298542604	0.4637187416800274	0.618003744948936	0.6221489235751204	0.6138001429764369	0.486346138164762	0.5158397275673519	0.6023617271649601	0.4702581362537309	0.6415429519017157	0.4903279639856495	0.7818829439311947	0.6027081902525798	0.6191615953085948	0.4512301445114773	0.6345992851714017	0.6866649640585023	0.5762049808259658	0.6268195796964197	0.6476275398584999	0.5702887454628787
SMG01004	0.5304665958794011	0	0.6128986646615423	0.7003689709072515	0.5535919107578825	0.5747667096454795	0.6830932600449466	0.6038209061930753	0.6320237855339753	0.5853122936839459	0.5806299583999873	0.6074909595978586	0.5981684410121292	0.6243278716175839	0.5884214661525606	0.8129840153426248	0.63476916345067	0.649187026024462	0.5633870012701653	0.6531490322645164	0.6982922368641143	0.5883350255336224	0.6277947011806535	0.6500052632694007	0.6179715972642225
SMG01005	0.5439531319753717	0.6128986646615423	0	0.6268892753424217	0.5567453924736898	0.5767551745556465	0.5942997984652114	0.6284887099433391	0.5958058623443063	0.5889792284980863	0.5803000742543359	0.6470083586130532	0.5780870620853135	0.6157879125714149	0.5055454269089666	0.7635261347097985	0.6202597379926013	0.6410070785368208	0.5256931424388125	0.6684702663194719	0.695644366854006	0.6016800359468573	0.606309116066194	0.6857749199325214	0.6031770076645643
LPK01006	0.6380223176590304	0.7003689709072515	0.6268892753424217	0	0.6106008405070185	0.6682064746594333	0.6632717090820461	0.6787817570843541	0.6844185941507838	0.6271137567907326	0.6723781533752501	0.7168743164701636	0.6605001539668084	0.6531907208582844	0.593434792644042	0.8169555095394239	0.6095626942769303	0.723120093377822	0.6447534699982772	0.6773592745251652	0.6226806716159365	0.6141658813794647	0.533267234654479	0.6066819739471893	0.5571311846343674
RRM01008	0.5688942298542604	0.5535919107578825	0.5567453924736898	0.6106008405070185	0	0.6063695444861	0.5928717160500059	0.6403593704123651	0.6472607900908631	0.644470189780545	0.6377601778212713	0.6601829861016476	0.6438602737388154	0.6582093040748728	0.5939190167529549	0.8084085702089471	0.4959613555316874	0.69202580529803	0.6316300718072735	0.6324178207036301	0.6111347550751692	0.5858449589989877	0.5365951435880472	0.624567232365296	0.5621897668024272
RSM01009	0.4637187416800274	0.5747667096454795	0.5767551745556465	0.6682064746594333	0.6063695444861	0	0.6388825647649016	0.6667652350171261	0.6435119396185317	0.5858345890863667	0.5704299645927964	0.6384009076901195	0.5962493480664743	0.7012858447020878	0.581798065203623	0.8157898273699599	0.6387717264254441	0.6287231636484523	0.5266087535798512	0.6702828366478041	0.6745286033340454	0.6264437927843582	0.6807083083686216	0.6736202453395357	0.6522764957260708
MSY01012	0.618003744948936	0.6830932600449466	0.5942997984652114	0.6632717090820461	0.5928717160500059	0.6388825647649016	0	0.7136777005683611	0.6338292041955942	0.6807264689696551	0.6541305339998553	0.6704841900772045	0.7031363301302435	0.6334744145215977	0.6217030603964866	0.7441767698580882	0.6501838837454071	0.6963454615545612	0.6505792472930347	0.7637840043674362	0.6902429085904431	0.7070239547647967	0.638091910039654	0.7109679036383703	0.6650184789214058
YRB01013	0.6221489235751204	0.6038209061930753	0.6284887099433391	0.6787817570843541	0.6403593704123651	0.6667652350171261	0.7136777005683611	0	0.5809383637183339	0.5883603560324444	0.5754840029149181	0.6368280774946947	0.6341106909231906	0.5861469439398086	0.493285883360599	0.7689293310083877	0.5674264768108462	0.608764461406163	0.5896550839594265	0.6135838519017967	0.6613451734188349	0.6512660304827699	0.5728671273135758	0.6573753233362318	0.5960895992927182
MML01014	0.6138001429764369	0.6320237855339753	0.5958058623443063	0.6844185941507838	0.6472607900908631	0.6435119396185317	0.6338292041955942	0.5809383637183339	0	0.6143730122327805	0.5253124493092906	0.4950354456741643	0.6339106202580373	0.5521403348390589	0.4712234826565929	0.7361536882567468	0.6071306780361778	0.5648271175528844	0.5804115256460732	0.6564175992347073	0.6641939001110179	0.6647719253135889	0.5890044982026312	0.6690871363639337	0.6174005824734475
RRG01015	0.486346138164762	0.5853122936839459	0.5889792284980863	0.6271137567907326	0.644470189780545	0.5858345890863667	0.6807264689696551	0.5883603560324444	0.6143730122327805	0	0.5111755484420416	0.5868236350993702	0.4761569833070078	0.5798739429323557	0.4981828762147381	0.7829213822531816	0.612782695789272	0.5844068139986083	0.4746922247375972	0.6246519706660512	0.6844777453140808	0.5563915847412687	0.6141505705375301	0.5902085537524592	0.5739921895518386
