	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
PRK01002	0	0.36059826774451	0.5501220243967869	0.1841991394093259	0.2819199837172986	0.3462841252247267	0.4810716917732052	0.3267819052618829	0.3306807420862642	0.1236226532529607	0.6553850725771694	0.6731181833041717	0.2964167586502729	0.2612953335711715	0.2932494454117792	0.3904553130132054	0.38599748940781	0.2554133873400029	0.2968111464234625	0.3194004536397337	0.6016745935946989	0.3567073526423784	0.5248032835588242	0.2453218993816712	0.219474086289644
SMG01004	0.36059826774451	0	0.3069013853558605	0.3890819221174542	0.2076396438501801	0.3819003443790775	0.3981245908167776	0.1966472388555358	0.2334921465961428	0.3590131837167364	0.4934792684100822	0.5301214798373879	0.1617549316035216	0.2702306743725814	0.2354855015580228	0.2818603191817428	0.3577879975014284	0.3230791865338442	0.2707708117497732	0.2536566186697226	0.469528105061472	0.1271142541221756	0.4637326854910904	0.3089471026879128	0.3067933287953706
SMG01005	0.5501220243967869	0.3069013853558605	0	0.5195129303290369	0.4298457887066071	0.5644293668916033	0.4195516159217476	0.4273191335374695	0.4690081295132464	0.505495877006934	0.414987541299804	0.4319080592903672	0.3981550125040945	0.4239007630572588	0.4287536640624612	0.4031047567215099	0.5672706485524452	0.4781274190320798	0.5112007913944077	0.489411864024021	0.415563835248272	0.3010200939503919	0.4968108522095198	0.5108288552354718	0.4996917497997569
LPK01006	0.1841991394093259	0.3890819221174542	0.5195129303290369	0	0.3336042193920207	0.3820387557016666	0.42263300879534	0.3220611696482784	0.3635506683936252	0.1564986834961455	0.6055860316401414	0.6255902880426119	0.3480678999062291	0.2823240091075983	0.3312680618048655	0.390989373712326	0.3698297822068751	0.1950227249998072	0.2988076399978937	0.3335642843437023	0.5075720397879918	0.3862421548368835	0.4734956201485439	0.3039832465671088	0.2798807144521989
RRM01008	0.2819199837172986	0.2076396438501801	0.4298457887066071	0.3336042193920207	0	0.2566839231158001	0.4411700826510758	0.1534476259192797	0.1854782542472597	0.299047160063569	0.576957211706891	0.6049341308077569	0.1255611778123907	0.2377843228705746	0.1112161224574681	0.3109832284601362	0.2941137465853529	0.2719776231179709	0.1593543381776582	0.1552631615509793	0.5436619201651351	0.2186630755857134	0.4952501325870783	0.1706989474438747	0.1571270570986038
RSM01009	0.3462841252247267	0.3819003443790775	0.5644293668916033	0.3820387557016666	0.2566839231158001	0	0.4730198745527918	0.3198860099463194	0.2377698629046835	0.3841569601573914	0.5292136688034172	0.5070856642598603	0.2872557082672158	0.3373351871948883	0.2471765389459329	0.3530437828196182	0.3718442182892471	0.340694901632374	0.2405161390812121	0.2562827875986022	0.5686079399778688	0.3841366424450335	0.5490399948312578	0.2330301675114401	0.2172080449260153
MSY01012	0.4810716917732052	0.3981245908167776	0.4195516159217476	0.42263300879534	0.4411700826510758	0.4730198745527918	0	0.361139432151797	0.372463493141715	0.4840272056293581	0.4866181034181871	0.4721471891476575	0.4287378591904668	0.4113160452312857	0.4489334127617331	0.3160977346397283	0.2652494727241793	0.3710644931973971	0.4029190285447576	0.4230290203073833	0.2105201802873504	0.3992377097236054	0.2116863084023409	0.4890756615334619	0.4701851806068232
YRB01013	0.3267819052618829	0.1966472388555358	0.4273191335374695	0.3220611696482784	0.1534476259192797	0.3198860099463194	0.361139432151797	0	0.1705577299121093	0.345236427350721	0.5554706925511367	0.5873305367423447	0.1536200739643127	0.2650605038532609	0.1802020343227276	0.2617295706178537	0.2357985368391135	0.2704574183928358	0.1644490505739226	0.1636417372109366	0.4675699522879806	0.2042052648488974	0.4167720215574605	0.2460001386440851	0.2266066526884135
MML01014	0.3306807420862642	0.2334921465961428	0.4690081295132464	0.3635506683936252	0.1854782542472597	0.2377698629046835	0.372463493141715	0.1705577299121093	0	0.3668289539459314	0.4877789233234722	0.519748390241226	0.1808155730747541	0.3057649296207158	0.2272798323430304	0.2282579837135003	0.2576315365865647	0.252393055943634	0.172638182169552	0.1411007933286326	0.4361848186788717	0.2627961317639598	0.4501795555727124	0.2760877735491867	0.2557441611567891
RRG01015	0.1236226532529607	0.3590131837167364	0.505495877006934	0.1564986834961455	0.299047160063569	0.3841569601573914	0.4840272056293581	0.345236427350721	0.3668289539459314	0	0.6208564668828422	0.6351624908746479	0.3065958033602508	0.2596672533066432	0.2974035004175983	0.4186411809480471	0.4270072819633099	0.2174171046845011	0.3303969130376735	0.3517901005116992	0.5648963332064405	0.3522075620273917	0.5354873845976245	0.2499245781060119	0.2282289604316361
AEO01016	0.6553850725771694	0.4934792684100822	0.414987541299804	0.6055860316401414	0.576957211706891	0.5292136688034172	0.4866181034181871	0.5554706925511367	0.4877789233234722	0.6208564668828422	0	0.2155612671384773	0.5448158655337756	0.5940353009732681	0.60409912070438	0.5058144321322011	0.6356626797964585	0.5101245988936302	0.5965240395220467	0.5826374366181514	0.3627994655833611	0.5200116543351621	0.5366100459375942	0.6622080301381329	0.6384917371335894
AR001017	0.6731181833041717	0.5301214798373879	0.4319080592903672	0.6255902880426119	0.6049341308077569	0.5070856642598603	0.4721471891476575	0.5873305367423447	0.519748390241226	0.6351624908746479	0.2155612671384773	0	0.5778725981398904	0.6031738426880715	0.6182907010497404	0.5085962088841242	0.6363425870380577	0.5448147821596787	0.6287741521788441	0.6162192966203393	0.3934039483768207	0.5316943171800597	0.5452051229446616	0.6692049223958093	0.6570424310139884
EMS01018	0.2964167586502729	0.1617549316035216	0.3981550125040945	0.3480678999062291	0.1255611778123907	0.2872557082672158	0.4287378591904668	0.1536200739643127	0.1808155730747541	0.3065958033602508	0.5448158655337756	0.5778725981398904	0	0.2319248787853256	0.1386678981518366	0.2746875834728084	0.3114036006912987	0.2797078113509848	0.1702238257144859	0.1547133742313357	0.5134151929176739	0.1785787913209752	0.4894907751013849	0.2134384322057077	0.2012023650131769
APA01019	0.2612953335711715	0.2702306743725814	0.4239007630572588	0.2823240091075983	0.2377843228705746	0.3373351871948883	0.4113160452312857	0.2650605038532609	0.3057649296207158	0.2596672533066432	0.5940353009732681	0.6031738426880715	0.2319248787853256	0	0.2282994760164023	0.3270541140152309	0.3662907006657424	0.2766725245423378	0.2595886051400508	0.27046378828995	0.538108928129318	0.2548995165449506	0.4858287794598822	0.2472500752854938	0.2327310181620112
MRK01020	0.2932494454117792	0.2354855015580228	0.4287536640624612	0.3312680618048655	0.1112161224574681	0.2471765389459329	0.4489334127617331	0.1802020343227276	0.2272798323430304	0.2974035004175983	0.60409912070438	0.6182907010497404	0.1386678981518366	0.2282994760164023	0	0.3158478801980387	0.314686941104085	0.310949316408227	0.1568807132897084	0.172113550578424	0.5541793093506112	0.195951163434264	0.5228785416296898	0.1339766000268838	0.1311009860633249
