Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
PRK01002	366.167	0.086	1.000	365	0.637	5.423	0.914
SMG01004	383.895	0.059	1.000	381	0.667	5.715	0.941
SMG01005	381.800	0.029	1.000	380	0.744	6.379	0.971
LPK01006	382.731	0.040	1.000	373	0.699	5.970	0.960
RRM01008	403.769	0.036	1.000	401	0.693	5.992	0.964
RSM01009	250.455	0.040	1.000	250	0.678	5.398	0.960
MSY01012	309.500	0.072	1.000	307	0.613	5.064	0.928
YRB01013	427.714	0.028	1.000	426	0.732	6.393	0.972
MML01014	339.250	0.076	1.000	336	0.613	5.143	0.924
RRG01015	440.773	0.075	1.000	436	0.618	5.422	0.925
AEO01016	294.357	0.106	1.000	294	0.565	4.631	0.894
AR001017	355.556	0.114	1.000	345	0.552	4.653	0.886
EMS01018	474.938	0.022	1.000	474	0.754	6.704	0.978
APA01019	555.357	0.024	1.000	553	0.758	6.909	0.976
MRK01020	460.056	0.059	1.000	457	0.674	5.959	0.941
SSM01021	246.000	0.041	1.000	246	0.711	5.650	0.959
TSY01022	336.964	0.127	1.000	335	0.585	4.911	0.873
DBM01024	410.029	0.048	1.000	409	0.678	5.882	0.952
VHW01025	429.385	0.044	1.000	428	0.685	5.985	0.956
SMG01026	398.700	0.053	1.000	398	0.676	5.839	0.947
KSS01027	305.158	0.074	1.000	293	0.584	4.789	0.926
KRL01028	505.600	0.016	1.000	503	0.771	6.922	0.984
PBB01029	366.294	0.199	1.000	364	0.483	4.110	0.801
DLD01030	359.088	0.058	1.000	356	0.630	5.343	0.942
PDD01031	487.217	0.064	1.000	482	0.657	5.859	0.936
